"No.","Time","Source","Destination","Protocol","Length","Info"
"53","0.263518852","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=4350 Ack=1420 Win=65535 Len=0"
"54","0.263877852","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"55","0.264502062","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=4350 Ack=1579 Win=65535 Len=0"
"56","0.288562235","194.242.2.2","10.0.2.15","TLSv1.3","580","Application Data"
"57","0.288597495","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=1579 Ack=4876 Win=62780 Len=0"
"58","0.322195255","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"59","0.322560934","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"60","0.323891143","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=4876 Ack=1635 Win=65535 Len=0"
"61","0.323891393","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=4876 Ack=1794 Win=65535 Len=0"
"62","0.324553042","10.0.2.15","194.242.2.2","TLSv1.3","110","Application Data"
"63","0.324863742","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=4876 Ack=1850 Win=65535 Len=0"
"64","0.324895292","10.0.2.15","194.242.2.2","TLSv1.3","213","Application Data"
"65","0.325197892","194.242.2.2","10.0.2.15","TCP","60","443  >  39448 [ACK] Seq=4876 Ack=2009 Win=65535 Len=0"
"66","0.348842888","194.242.2.2","10.0.2.15","TLSv1.3","580","Application Data"
"67","0.353170594","194.242.2.2","10.0.2.15","TLSv1.3","571","Application Data"
"68","0.354054994","10.0.2.15","194.242.2.2","TCP","54","39448  >  443 [ACK] Seq=2009 Ack=5919 Win=62780 Len=0"
"69","0.357982541","10.0.2.15","34.160.122.198","TCP","74","54518  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=37660287 TSecr=0 WS=128"
"70","0.375689561","34.160.122.198","10.0.2.15","TCP","60","443  >  54518 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"71","0.375775421","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=1 Ack=1 Win=64240 Len=0"
"72","0.376407619","10.0.2.15","34.160.122.198","TLSv1.3","704","Client Hello (SNI=publicsuffix.org)"
"73","0.376672201","34.160.122.198","10.0.2.15","TCP","60","443  >  54518 [ACK] Seq=1 Ack=651 Win=65535 Len=0"
"74","0.391134862","34.160.122.198","10.0.2.15","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"75","0.391196611","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=651 Ack=1413 Win=63540 Len=0"
"76","0.391135231","34.160.122.198","10.0.2.15","TCP","1466","443  >  54518 [PSH, ACK] Seq=1413 Ack=651 Win=65535 Len=1412 [TCP PDU reassembled in 78]"
"77","0.391250451","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=651 Ack=2825 Win=62128 Len=0"
"78","0.391526791","34.160.122.198","10.0.2.15","TLSv1.3","404","Application Data"
"79","0.391535021","10.0.2.15","34.160.122.198","TCP","54","54518  >  443 [ACK] Seq=651 Ack=3175 Win=62128 Len=0"
"80","0.393729038","10.0.2.15","34.160.122.198","TLSv1.3","118","Change Cipher Spec, Application Data"
