IP,CNAME,Gesendet,Empfangen
ff02::fb,,0,1
2a00:1450:4001:810::2003,fra16s50-in-x03.1e100.net,28,26
2a00:1450:400c:c1d::54,wh-in-f84.1e100.net,19,17
2a00:1450:4001:80f::200a,fra07s64-in-x200a.1e100.net,16,14
